,NUM_BO,DELEGACIA,RUBRICA,MES,LATITUDE,LONGITUDE
752294,13,85º D.P. JARDIM MIRNA         ,Roubo,1,-23.7708556,-46.67556424
359523,185,06º D.P. OSASCO               ,Furto,1,-23.54405948,-46.783201899999995
444993,63771,DELEGACIA ELETRONICA          ,Furto,1,-23.47771952,-46.68622134
571349,117980,DELEGACIA ELETRONICA          ,Roubo,1,-23.66287384,-46.72969632
225684,55,01º D.P. DIADEMA              ,Lesão envolvendo veículos,1,-23.712552600000002,-46.60671496
393613,555,01º D.P. CARAPICUIBA          ,Roubo,1,-23.55772998,-46.82740151
92331,109037,DELEGACIA ELETRONICA          ,Furto,1,-23.6737094,-46.67773109
250482,216,17º D.P.  DOUTOR ALDO GALIANO ,Roubo,1,-23.62485969,-46.57719291
354216,935,50º D.P.  ITAIM PAULISTA      ,Roubo,1,-23.497043100000003,-46.38362321
38286,102045,DELEGACIA ELETRONICA          ,Furto,1,-23.5506097,-46.64809736
296793,397,72º D.P. VILA PENTEADO        ,Roubo,1,-23.45735836,-46.68315158
561707,39894,DELEGACIA ELETRONICA          ,Furto,1,-23.61097297,-46.66924498
108682,37170,DELEGACIA ELETRONICA          ,Furto,1,-23.44275356,-46.72308478
736965,89412,DELEGACIA ELETRONICA          ,Roubo,1,-23.70509913,-46.55204917
235291,766,16º D.P. VILA CLEMENTINO      ,Roubo,1,-23.60065921,-46.6326874
25668,525,78º D.P. JARDINS              ,Furto,1,-23.52909859,-46.68647538
388936,2505,DELEGACIA ELETRONICA          ,Roubo,1,-23.54490506,-46.40990814
759133,356,87º D.P. V. P. BARRETO        ,Furto,1,-23.48432643,-46.71937852
242462,137219,DELEGACIA ELETRONICA          ,Roubo,1,-23.65527655,-46.67975183
470134,209,58º D.P. VILA FORMOSA         ,Lesão corporal,1,-23.5682613,-46.55230785
434399,96330,DELEGACIA ELETRONICA          ,Furto,1,-23.60420277,-46.50926123
645379,67667,DELEGACIA ELETRONICA          ,Furto,1,-23.64220235,-46.54130351
327058,64267,DELEGACIA ELETRONICA          ,Furto,1,-23.60955422,-46.46420206
128500,73879,DELEGACIA ELETRONICA          ,Furto,1,-23.53982282,-46.59352655
